code,network,station,id,longitude,latitude,elevation
CO0300,SS,14803,SS.14803,7.275237,47.327365,545.1
DE0513,SS,17119,SS.17119,7.349676,47.387269,543.5
CH0277,SS,17484,SS.17484,7.337547,47.325534,578.4
CH0278,SS,17654,SS.17654,7.351522,47.327024,535.9
EP0374,SS,21055,SS.21055,7.109997,47.32138,558.1
UN0152,SS,21066,SS.21066,7.223604,47.298969,555.8
MO0437,SS,21067,SS.21067,7.16898,47.348774,459.6
PL0632,SS,21078,SS.21078,7.262616,47.426176,591.6
CO2036,SS,21088,SS.21088,7.288536,47.340624,507.6
ST0378,SS,21099,SS.21099,7.151408,47.333877,452.7
ST0496,SS,21104,SS.21104,7.168879,47.362419,438.4
VI1052,SS,21105,SS.21105,7.42907,47.363976,515.1
DE1037,SS,21109,SS.21109,7.314869,47.369696,536.2
CO1056,SS,21110,SS.21110,7.473969,47.362895,543.6
GL2016,SS,21127,SS.21127,7.174513,47.321942,598.1
MO0468,SS,21130,SS.21130,7.177071,47.357494,596.3
CO0650,SS,21134,SS.21134,7.178713,47.411849,505.3
BR0318,SS,21137,SS.21137,7.049544,47.395957,497.5
ST0524,SS,21143,SS.21143,7.163292,47.367875,481.2
CO0337,SS,21153,SS.21153,7.357837,47.34313,536.1
CO1044,SS,21157,SS.21157,7.365981,47.366208,415.4
DE0456,SS,21161,SS.21161,7.359951,47.372283,427.3
UN0208,SS,21169,SS.21169,7.223597,47.299464,552.4
CH0673,SS,21176,SS.21176,7.20738,47.419054,550.6
CO0579,SS,21181,SS.21181,7.023477,47.416052,517.8
FO0707,SS,21185,SS.21185,7.060675,47.389048,521.1
GL2020,SS,21206,SS.21206,7.20845,47.329985,548.3
PO1007,SS,21208,SS.21208,7.087417,47.418377,432.8
MO0526,SS,21215,SS.21215,7.187822,47.376274,589.1
CH0672,SS,21219,SS.21219,7.199159,47.417508,526.1
DE0395,SS,21221,SS.21221,7.332087,47.356602,425.3
CO2034,SS,21226,SS.21226,7.282044,47.339612,505.5
CO0668,SS,21234,SS.21234,7.129157,47.445517,496.7
PO1003,SS,21247,SS.21247,7.045903,47.423817,552.7
CO1012,SS,21256,SS.21256,7.123325,47.408342,483.3
ST0525,SS,21274,SS.21274,7.171856,47.368677,486.0
CO2058,SS,21281,SS.21281,7.374256,47.345884,433.5
BO0412,SS,21284,SS.21284,7.20482,47.345933,548.8
DE0424,SS,21288,SS.21288,7.331576,47.360017,427.4
CO0330,SS,21293,SS.21293,7.283358,47.333467,480.5
CO0369,SS,21305,SS.21305,7.370043,47.352458,420.0
BA0356,SS,21313,SS.21313,7.237987,47.338828,483.6
CO0625,SS,21317,SS.21317,7.147921,47.397968,545.0
CO0332,SS,21318,SS.21318,7.311563,47.33776,461.8
DE1035,SS,21328,SS.21328,7.300344,47.36961,596.9
DE0448,SS,21333,SS.21333,7.277134,47.363369,553.3
CO2031,SS,21345,SS.21345,7.26931,47.336969,461.2
CO2038,SS,21354,SS.21354,7.026686,47.411257,520.8
CH0702,SS,21410,SS.21410,7.189703,47.430719,573.7
CO1055,SS,21436,SS.21436,7.465462,47.363572,559.0
CO2037,SS,21437,SS.21437,7.297896,47.341285,538.8
PL0653,SS,21439,SS.21439,7.212507,47.412875,598.4
ME0540,SS,21443,SS.21443,7.336646,47.395792,573.5
BA0385,SS,21452,SS.21452,7.228655,47.342083,489.6
DE0392,SS,21453,SS.21453,7.298652,47.351272,587.8
BO0443,SS,21455,SS.21455,7.221228,47.354495,530.8
CO0642,SS,21456,SS.21456,7.095754,47.398959,491.2
CO0622,SS,21460,SS.21460,7.117128,47.392172,540.5
FO0595,SS,21462,SS.21462,7.085829,47.383255,598.7
MI0687,SS,21466,SS.21466,7.175797,47.422194,487.7
CH0675,SS,21479,SS.21479,7.228228,47.424549,578.7
CO2061,SS,21480,SS.21480,7.393312,47.349312,439.5
MI0688,SS,21482,SS.21482,7.183969,47.424958,493.3
UN0209,SS,21493,SS.21493,7.245135,47.300098,566.3
SO0566,SS,21515,SS.21515,7.3532,47.400806,548.0
GL2015,SS,21516,SS.21516,7.16697,47.318361,599.5
CO2042,SS,21527,SS.21527,7.310526,47.341071,439.2
RO2052,SS,21531,SS.21531,7.350582,47.345827,489.6
GL2018,SS,21533,SS.21533,7.193749,47.32645,598.7
CO0649,SS,21540,SS.21540,7.18373,47.407429,543.6
CO2046,SS,21548,SS.21548,7.326668,47.342222,446.9
CO0338,SS,21555,SS.21555,7.364228,47.340039,448.6
VE0251,SS,21561,SS.21561,7.37246,47.322619,587.4
BA0388,SS,21586,SS.21586,7.258945,47.345337,469.8
CO1011,SS,21589,SS.21589,7.116477,47.409518,492.0
OC0457,SS,21592,SS.21592,7.066453,47.343852,422.1
CO0334,SS,21598,SS.21598,7.325783,47.340655,450.2
CO0276,SS,21605,SS.21605,7.333904,47.32679,567.9
MI0699,SS,21614,SS.21614,7.16707,47.429636,476.0
CO0624,SS,21619,SS.21619,7.135246,47.3953,524.4
PO1005,SS,21624,SS.21624,7.068502,47.423641,525.6
CO0329,SS,21628,SS.21628,7.275961,47.332512,488.0
RO0336,SS,21632,SS.21632,7.346675,47.341805,493.4
MO0407,SS,21635,SS.21635,7.156359,47.338648,457.7
CH0690,SS,21639,SS.21639,7.204527,47.426373,519.4
ST0345,SS,21666,SS.21666,7.122887,47.325232,505.1
CO2048,SS,21678,SS.21678,7.329496,47.344064,439.6
BA2025,SS,21701,SS.21701,7.239039,47.333889,488.8
BA0416,SS,21707,SS.21707,7.251193,47.352653,485.5
BA0324,SS,21712,SS.21712,7.217655,47.32465,553.9
CO1048,SS,21714,SS.21714,7.391556,47.363816,434.1
VE0554,SS,21733,SS.21733,7.153801,47.447625,515.3
BA0266,SS,21737,SS.21737,7.218588,47.316429,527.4
MO0438,SS,21748,SS.21748,7.172847,47.351199,473.9
CO0647,SS,21753,SS.21753,7.131451,47.414744,472.0
BA2026,SS,21756,SS.21756,7.246364,47.333225,506.1
OC0487,SS,21761,SS.21761,7.075345,47.352056,423.3
MO0491,SS,21762,SS.21762,7.113706,47.357841,447.2
BU0133,SS,21772,SS.21772,6.988058,47.440027,568.2
ST0492,SS,21779,SS.21779,7.123164,47.357471,574.0
CO0303,SS,22227,SS.22227,7.306657,47.32706,562.4
UN0235,SS,22233,SS.22233,7.210161,47.300747,576.8
